Energy fluotot bragg Monitor highharm
2.431700000000000000e+04 1.106151776605571613e-03 2.642226453038786715e+01 9.537570000000000000e+05 5.428743235871711370e-01
2.431800000000000000e+04 1.124594815103382170e-03 2.630123205735638692e+01 9.523430000000000000e+05 5.446725790899943354e-01
2.431800000000000000e+04 1.174353135019125379e-03 2.633396163065256346e+01 9.528650000000000000e+05 5.423535442755487157e-01
2.431900000000000000e+04 1.077808078728311608e-03 2.615488316043978401e+01 9.519320000000000000e+05 5.326527820201585328e-01
2.431900000000000000e+04 1.160691120660404130e-03 2.621695167374490509e+01 9.520190000000000000e+05 5.333268969400052351e-01
2.432000000000000000e+04 1.186905561635511136e-03 2.635469682335856945e+01 9.512130000000000000e+05 5.483788437068737309e-01
2.432000000000000000e+04 1.125578159369679037e-03 2.631419834784752254e+01 9.515110000000000000e+05 5.236883942595234043e-01
2.432100000000000000e+04 1.176119101520747530e-03 2.661828269633512178e+01 9.505840000000000000e+05 5.480406359020800755e-01
2.432100000000000000e+04 1.146585122374294170e-03 2.646438018479219423e+01 9.506490000000000000e+05 5.469968492774716085e-01
2.432200000000000000e+04 1.132575546262450886e-03 2.649482828961258107e+01 9.500470000000000000e+05 5.473106923916206679e-01
2.432200000000000000e+04 1.123219376218483403e-03 2.642323231787750970e+01 9.499480000000000000e+05 5.315347241105264908e-01
2.432300000000000000e+04 1.122756461905795007e-03 2.639846012026792721e+01 9.494490000000000000e+05 5.451164937772663421e-01
2.432300000000000000e+04 1.158262500856318839e-03 2.652861354606524813e+01 9.488350000000000000e+05 5.444379998823666300e-01
2.432400000000000000e+04 1.122507326892275637e-03 2.628707760937725624e+01 9.478780000000000000e+05 5.417481664819739917e-01
2.432400000000000000e+04 1.151356504426877952e-03 2.661335810897685050e+01 9.493150000000000000e+05 5.462104337282783773e-01
2.432500000000000000e+04 1.184732966038004338e-03 2.666501116746766442e+01 9.487370000000000000e+05 5.449519701414174966e-01
