Energy fluotot Monitor
2.434200000000000000e+04 1.037540868715688134e-03 1.568131000000000000e+06
2.434200000000000000e+04 1.055561497598565867e-03 1.570728000000000000e+06
2.434300000000000000e+04 1.034890597279714951e-03 1.569248000000000000e+06
2.434300000000000000e+04 1.016533315669262234e-03 1.570042000000000000e+06
2.434400000000000000e+04 1.062853832717268509e-03 1.567478000000000000e+06
2.434400000000000000e+04 1.096710188431275664e-03 1.567415000000000000e+06
2.434500000000000000e+04 1.112415087559684391e-03 1.569558000000000000e+06
2.434500000000000000e+04 1.039740778353007416e-03 1.569622000000000000e+06
2.434600000000000000e+04 1.134738751902122748e-03 1.568643000000000000e+06
2.434600000000000000e+04 1.127114217220770041e-03 1.565946000000000000e+06
2.434700000000000000e+04 1.170517012386161583e-03 1.566829000000000000e+06
2.434700000000000000e+04 1.137941047888616419e-03 1.566865000000000000e+06
2.434800000000000000e+04 1.146342974322558245e-03 1.565849000000000000e+06
2.434800000000000000e+04 1.162323599831144435e-03 1.565829000000000000e+06
2.434900000000000000e+04 1.174332430049867398e-03 1.564293000000000000e+06
2.434900000000000000e+04 1.220793630908702850e-03 1.564556000000000000e+06
2.435000000000000000e+04 1.229208513088211972e-03 1.556286000000000000e+06
2.435000000000000000e+04 1.200596140438404133e-03 1.563390000000000000e+06
2.435100000000000000e+04 1.243525049342146353e-03 1.554452000000000000e+06
2.435100000000000000e+04 1.215387018175529939e-03 1.555883000000000000e+06
2.435200000000000000e+04 1.350491717497139497e-03 1.559432000000000000e+06
2.435200000000000000e+04 1.264679081256918185e-03 1.556126000000000000e+06
2.435300000000000000e+04 1.382963640816117909e-03 1.551740000000000000e+06
2.435300000000000000e+04 1.381374172026014627e-03 1.557869000000000000e+06
2.435400000000000000e+04 1.522230954866272057e-03 1.551013000000000000e+06
2.435400000000000000e+04 1.513220513978735674e-03 1.549675000000000000e+06
2.435500000000000000e+04 1.567511034325727538e-03 1.554694000000000000e+06
2.435500000000000000e+04 1.596781860454590200e-03 1.546235000000000000e+06
2.435600000000000000e+04 1.705077759040661859e-03 1.547730000000000000e+06
2.435600000000000000e+04 1.725944367254032830e-03 1.545241000000000000e+06
2.435700000000000000e+04 1.934771304741644739e-03 1.550054000000000000e+06
2.435700000000000000e+04 1.936388912782947358e-03 1.546177000000000000e+06
2.435800000000000000e+04 2.092034019413868944e-03 1.550644000000000000e+06
2.435800000000000000e+04 2.112370057186818348e-03 1.544237000000000000e+06
2.435900000000000000e+04 2.302165356880968902e-03 1.543764000000000000e+06
2.435900000000000000e+04 2.454285298540045610e-03 1.546275000000000000e+06
2.436000000000000000e+04 2.523205579974136577e-03 1.542086000000000000e+06
2.436000000000000000e+04 2.614487419964503685e-03 1.544471000000000000e+06
2.436100000000000000e+04 2.706777066310520063e-03 1.540947000000000000e+06
2.436100000000000000e+04 2.820648762225677359e-03 1.537235000000000000e+06
2.436200000000000000e+04 2.996901508609735223e-03 1.535586000000000000e+06
2.436200000000000000e+04 2.963856583214019135e-03 1.535162000000000000e+06
2.436300000000000000e+04 3.072354870028047233e-03 1.533677000000000000e+06
2.436300000000000000e+04 3.231853858126999823e-03 1.539983000000000000e+06
2.436400000000000000e+04 3.397218669660366248e-03 1.535668000000000000e+06
2.436400000000000000e+04 3.286599716688198662e-03 1.532587000000000000e+06
2.436500000000000000e+04 3.517919217619977154e-03 1.533577000000000000e+06
2.436500000000000000e+04 3.391362442146682744e-03 1.531243000000000000e+06
2.436600000000000000e+04 3.584681978058795564e-03 1.528448000000000000e+06
2.436600000000000000e+04 3.570674170750155578e-03 1.529123000000000000e+06
2.436700000000000000e+04 3.752432618278072392e-03 1.524078000000000000e+06
2.436700000000000000e+04 3.741196608851541684e-03 1.532932000000000000e+06
2.436800000000000000e+04 3.990943678449244102e-03 1.518939000000000000e+06
2.436800000000000000e+04 3.885995101433825476e-03 1.527794000000000000e+06
2.436900000000000000e+04 4.069933513912836302e-03 1.522875000000000000e+06
2.436900000000000000e+04 4.010588162728031397e-03 1.523966000000000000e+06
2.437000000000000000e+04 4.145650521661031068e-03 1.519665000000000000e+06
2.437000000000000000e+04 4.141516412907929670e-03 1.518043000000000000e+06
2.437100000000000000e+04 4.276815097953079459e-03 1.520524000000000000e+06
2.437100000000000000e+04 4.379103764489251926e-03 1.519489000000000000e+06
2.437200000000000000e+04 4.418771234614142507e-03 1.521690000000000000e+06
2.437200000000000000e+04 4.398724068288443166e-03 1.524533000000000000e+06
2.437300000000000000e+04 4.319778333585009254e-03 1.516513000000000000e+06
2.437300000000000000e+04 4.482834457773256578e-03 1.518682000000000000e+06
2.437400000000000000e+04 4.647886858212335777e-03 1.512085000000000000e+06
2.437400000000000000e+04 4.641618214687069470e-03 1.514558000000000000e+06
2.437500000000000000e+04 4.638661548872815774e-03 1.513152000000000000e+06
2.437500000000000000e+04 4.750163844316195039e-03 1.513632000000000000e+06
2.437600000000000000e+04 4.652233780206265455e-03 1.511317000000000000e+06
2.437600000000000000e+04 4.806684932378839370e-03 1.508108000000000000e+06
2.437700000000000000e+04 4.745807946717986447e-03 1.513757000000000000e+06
2.437700000000000000e+04 4.818364853470090935e-03 1.510886000000000000e+06
2.437800000000000000e+04 4.837089353689172713e-03 1.506071000000000000e+06
2.437800000000000000e+04 4.739327094871811571e-03 1.512873000000000000e+06
2.437900000000000000e+04 4.812148520221235480e-03 1.508266000000000000e+06
2.437900000000000000e+04 4.785946048252565262e-03 1.511091000000000000e+06
2.438000000000000000e+04 4.780379106465969252e-03 1.504274000000000000e+06
2.438000000000000000e+04 4.830370705966996296e-03 1.500920000000000000e+06
2.438100000000000000e+04 4.864594480947166504e-03 1.505367000000000000e+06
2.438100000000000000e+04 4.794061034926164894e-03 1.502484000000000000e+06
2.438200000000000000e+04 4.919376696480663551e-03 1.497954000000000000e+06
2.438200000000000000e+04 4.853088322876588506e-03 1.501106000000000000e+06
2.438300000000000000e+04 4.920167640318402931e-03 1.505843000000000000e+06
2.438300000000000000e+04 4.916023489149680230e-03 1.499586000000000000e+06
2.438400000000000000e+04 4.986129990384081771e-03 1.498557000000000000e+06
2.438400000000000000e+04 5.095326314440701623e-03 1.498432000000000000e+06
2.438500000000000000e+04 5.191909241303986101e-03 1.494248000000000000e+06
