    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -38.0000  1.50853E-03  3.95617E-05  3.38157E-05  7.91235E-05  6.76315E-05  1.00689E-04  1.72784E-04  1.00270E-04  1.72663E-04  1.00701E-04  1.72785E-04  6.03322E-04  1.03646E-03  6.02493E-05  4.05758E-05  5.97837E-05  4.03167E-05  5.99866E-05  4.04426E-05  5.97826E-05  4.03171E-05  6.02320E-05  4.05659E-05  6.00068E-04  4.04436E-04
  -37.5000  1.55572E-03  4.00610E-05  3.52880E-05  8.01220E-05  7.05759E-05  9.75540E-05  1.76369E-04  9.71097E-05  1.76232E-04  9.75662E-05  1.76371E-04  5.84460E-04  1.05794E-03  6.21918E-05  4.28613E-05  6.17037E-05  4.25842E-05  6.19106E-05  4.27178E-05  6.17020E-05  4.25846E-05  6.21738E-05  4.28507E-05  6.19364E-04  4.27197E-04
  -37.0000  1.60304E-03  4.06035E-05  3.67801E-05  8.12069E-05  7.35602E-05  9.46459E-05  1.79847E-04  9.41760E-05  1.79692E-04  9.46585E-05  1.79849E-04  5.66961E-04  1.07878E-03  6.42378E-05  4.52220E-05  6.37266E-05  4.49261E-05  6.39362E-05  4.50674E-05  6.37242E-05  4.49264E-05  6.42189E-05  4.52107E-05  6.39687E-04  4.50705E-04
  -36.5000  1.65061E-03  4.11930E-05  3.82939E-05  8.23861E-05  7.65879E-05  9.19495E-05  1.83227E-04  9.14533E-05  1.83053E-04  9.19622E-05  1.83229E-04  5.50730E-04  1.09902E-03  6.63958E-05  4.76620E-05  6.58611E-05  4.73465E-05  6.60714E-05  4.74955E-05  6.58579E-05  4.73467E-05  6.63760E-05  4.76500E-05  6.61124E-04  4.75001E-04
  -36.0000  1.69850E-03  4.18343E-05  3.98313E-05  8.36686E-05  7.96626E-05  8.94516E-05  1.86514E-04  8.89286E-05  1.86321E-04  8.94643E-05  1.86517E-04  5.35689E-04  1.11870E-03  6.86742E-05  5.01857E-05  6.81163E-05  4.98497E-05  6.83242E-05  5.00063E-05  6.81118E-05  4.98497E-05  6.86535E-05  5.01730E-05  6.83760E-04  5.00129E-04
  -35.5000  1.74680E-03  4.25328E-05  4.13944E-05  8.50657E-05  8.27887E-05  8.71412E-05  1.89716E-04  8.65912E-05  1.89504E-04  8.71535E-05  1.89719E-04  5.21772E-04  1.13788E-03  7.10819E-05  5.27980E-05  7.05016E-05  5.24406E-05  7.07029E-05  5.26046E-05  7.04957E-05  5.24404E-05  7.10604E-05  5.27844E-05  7.07685E-04  5.26136E-04
  -35.0000  1.79563E-03  4.32965E-05  4.29855E-05  8.65929E-05  8.59710E-05  8.50083E-05  1.92840E-04  8.44314E-05  1.92606E-04  8.50199E-05  1.92844E-04  5.08919E-04  1.15658E-03  7.36306E-05  5.55038E-05  7.30302E-05  5.51244E-05  7.32186E-05  5.52953E-05  7.30221E-05  5.51239E-05  7.36083E-05  5.54894E-05  7.33020E-04  5.53074E-04
  -34.5000  1.84506E-03  4.41352E-05  4.46074E-05  8.82705E-05  8.92148E-05  8.30455E-05  1.95892E-04  8.24428E-05  1.95636E-04  8.30559E-05  1.95896E-04  4.97088E-04  1.17485E-03  7.63326E-05  5.83090E-05  7.57159E-05  5.79069E-05  7.58822E-05  5.80840E-05  7.57052E-05  5.79060E-05  7.63094E-05  5.82938E-05  7.59891E-04  5.80999E-04
  -34.0000  1.89522E-03  4.50634E-05  4.62635E-05  9.01267E-05  9.25269E-05  8.12483E-05  1.98878E-04  8.06220E-05  1.98599E-04  8.12568E-05  1.98882E-04  4.86254E-04  1.19272E-03  7.92016E-05  6.12196E-05  7.85756E-05  6.07945E-05  7.87061E-05  6.09764E-05  7.85612E-05  6.07931E-05  7.91777E-05  6.12035E-05  7.88445E-04  6.09974E-04
  -33.5000  1.94621E-03  4.61019E-05  4.79577E-05  9.22038E-05  9.59154E-05  7.96158E-05  2.01804E-04  7.89701E-05  2.01501E-04  7.96212E-05  2.01808E-04  4.76414E-04  1.21023E-03  8.22540E-05  6.42424E-05  8.16308E-05  6.37944E-05  8.17044E-05  6.39789E-05  8.16112E-05  6.37922E-05  8.22297E-05  6.42254E-05  8.18860E-04  6.40067E-04
  -33.0000  1.99815E-03  4.72842E-05  4.96953E-05  9.45684E-05  9.93907E-05  7.81527E-05  2.04676E-04  7.74954E-05  2.04349E-04  7.81532E-05  2.04680E-04  4.67603E-04  1.22741E-03  8.55104E-05  6.73848E-05  8.49106E-05  6.69148E-05  8.48938E-05  6.70987E-05  8.48835E-05  6.69117E-05  8.54862E-05  6.73669E-05  8.51369E-04  6.71354E-04
  -32.5000  2.05120E-03  4.86652E-05  5.14838E-05  9.73304E-05  1.02968E-04  7.68740E-05  2.07501E-04  7.62192E-05  2.07150E-04  7.68665E-05  2.07505E-04  4.59919E-04  1.24431E-03  8.89955E-05  7.06554E-05  8.84547E-05  7.01655E-05  8.82928E-05  7.03434E-05  8.84165E-05  7.01609E-05  8.89722E-05  7.06366E-05  8.86264E-04  7.03924E-04
  -32.0000  2.10553E-03  5.03461E-05  5.33339E-05  1.00692E-04  1.06668E-04  7.58133E-05  2.10287E-04  7.51875E-05  2.09913E-04  7.57925E-05  2.10291E-04  4.53587E-04  1.26098E-03  9.27449E-05  7.40637E-05  9.23279E-05  7.35585E-05  9.19254E-05  7.37216E-05  9.22722E-05  7.35518E-05  9.27240E-05  7.40441E-05  9.23989E-04  7.37879E-04
  -31.5000  2.16137E-03  5.25324E-05  5.52645E-05  1.05065E-04  1.10529E-04  7.50475E-05  2.13045E-04  7.45032E-05  2.12651E-04  7.50034E-05  2.13047E-04  4.49108E-04  1.27749E-03  9.68151E-05  7.76216E-05  9.66470E-05  7.71102E-05  9.58251E-05  7.72431E-05  9.65618E-05  7.71004E-05  9.67998E-05  7.76015E-05  9.65298E-04  7.73354E-04
  -31.0000  2.21909E-03  5.56997E-05  5.73114E-05  1.11399E-04  1.14623E-04  7.47636E-05  2.15792E-04  7.44146E-05  2.15386E-04  7.46746E-05  2.15791E-04  4.47706E-04  1.29394E-03  1.01310E-04  8.13446E-05  1.01658E-04  8.08460E-05  1.00043E-04  8.09196E-05  1.01517E-04  8.08311E-05  1.01308E-04  8.13245E-05  1.01167E-03  8.10532E-04
  -30.5000  2.27944E-03  6.11967E-05  5.95603E-05  1.22393E-04  1.19121E-04  7.54986E-05  2.18567E-04  7.56335E-05  2.18165E-04  7.53097E-05  2.18559E-04  4.52884E-04  1.31058E-03  1.06488E-04  8.52580E-05  1.08013E-04  8.48154E-05  1.04689E-04  8.47669E-05  1.07754E-04  8.47910E-05  1.06517E-04  8.52389E-05  1.06692E-03  8.49740E-04
  -30.0000  2.31850E-03  7.42524E-05  6.11976E-05  1.48505E-04  1.22395E-04  7.93210E-05  2.20316E-04  8.09033E-05  2.19949E-04  7.88396E-05  2.20297E-04  4.78128E-04  1.32112E-03  1.13261E-04  8.77554E-05  1.18104E-04  8.74195E-05  1.10125E-04  8.71951E-05  1.17510E-04  8.73820E-05  1.13387E-04  8.77390E-05  1.14477E-03  8.74982E-04
  -29.9000  2.33184E-03  7.93376E-05  6.17807E-05  1.58675E-04  1.23561E-04  8.10677E-05  2.20912E-04  8.32557E-05  2.20561E-04  8.04616E-05  2.20888E-04  4.89570E-04  1.32472E-03  1.15068E-04  8.86011E-05  1.21258E-04  8.83108E-05  1.11410E-04  8.80139E-05  1.20525E-04  8.82679E-05  1.15236E-04  8.85860E-05  1.16699E-03  8.83559E-04
  -29.8000  2.34560E-03  8.62267E-05  6.24144E-05  1.72453E-04  1.24829E-04  8.35184E-05  2.21526E-04  8.65418E-05  2.21197E-04  8.27376E-05  2.21497E-04  5.05596E-04  1.32844E-03  1.17184E-04  8.94624E-05  1.25206E-04  8.92310E-05  1.12823E-04  8.88432E-05  1.24279E-04  8.91813E-05  1.17413E-04  8.94489E-05  1.19381E-03  8.92334E-04
  -29.7000  2.35992E-03  9.59465E-05  6.31196E-05  1.91893E-04  1.26239E-04  8.70624E-05  2.22166E-04  9.12797E-05  2.21868E-04  8.60261E-05  2.22129E-04  5.28736E-04  1.33232E-03  1.19771E-04  9.03427E-05  1.30366E-04  9.01892E-05  1.14432E-04  8.96842E-05  1.29162E-04  9.01307E-05  1.20090E-04  9.03316E-05  1.22764E-03  9.01357E-04
  -29.6000  2.37504E-03  1.10356E-04  6.39307E-05  2.20712E-04  1.27861E-04  9.23943E-05  2.22845E-04  9.83966E-05  2.22591E-04  9.09655E-05  2.22797E-04  5.63513E-04  1.33647E-03  1.23118E-04  9.12476E-05  1.37477E-04  9.11996E-05  1.16358E-04  9.05394E-05  1.35855E-04  9.11292E-05  1.23575E-04  9.12398E-05  1.27277E-03  9.10711E-04
  -29.5000  2.39138E-03  1.33181E-04  6.49096E-05  2.66362E-04  1.29819E-04  1.00887E-04  2.23586E-04  1.09726E-04  2.23397E-04  9.88080E-05  2.23524E-04  6.18840E-04  1.34101E-03  1.27784E-04  9.21868E-05  1.47963E-04  9.22871E-05  1.18840E-04  9.14129E-05  1.45665E-04  9.21998E-05  1.28474E-04  9.21841E-05  1.33745E-03  9.20541E-04
  -29.4000  2.40975E-03  1.72809E-04  6.61797E-05  3.45618E-04  1.32359E-04  1.15559E-04  2.24435E-04  1.29315E-04  2.24348E-04  1.12294E-04  2.24349E-04  7.14338E-04  1.34626E-03  1.34990E-04  9.31789E-05  1.64873E-04  9.34989E-05  1.22424E-04  9.23127E-05  1.61383E-04  9.33859E-05  1.36112E-04  9.31845E-05  1.43956E-03  9.31122E-04
  -29.3000  2.43199E-03  2.51368E-04  6.80272E-05  5.02736E-04  1.36054E-04  1.44138E-04  2.25495E-04  1.67576E-04  2.25580E-04  1.38368E-04  2.25366E-04  9.00163E-04  1.35288E-03  1.47802E-04  9.42653E-05  1.95690E-04  9.49372E-05  1.28558E-04  9.32576E-05  1.89810E-04  9.47810E-05  1.49855E-04  9.42859E-05  1.62343E-03  9.43054E-04
  -29.2000  2.46330E-03  4.45092E-04  7.12986E-05  8.90185E-04  1.42597E-04  2.12001E-04  2.27053E-04  2.59080E-04  2.27484E-04  1.99511E-04  2.26832E-04  1.34118E-03  1.36274E-03  1.76014E-04  9.55590E-05  2.63499E-04  9.68739E-05  1.42294E-04  9.43034E-05  2.51738E-04  9.66313E-05  1.80636E-04  9.56136E-05  2.02836E-03  9.57962E-04
  -29.1000  2.52660E-03  1.18846E-03  8.00336E-05  2.37692E-03  1.60067E-04  4.51607E-04  2.30372E-04  5.90263E-04  2.31822E-04  4.10681E-04  2.29851E-04  2.90510E-03  1.38409E-03  2.68195E-04  9.75302E-05  4.76139E-04  1.00373E-04  1.93293E-04  9.57241E-05  4.43720E-04  9.98925E-05  2.84243E-04  9.77027E-05  3.33118E-03  9.82446E-04
  -29.0000  3.22741E-03  1.77277E-02  2.10330E-04  3.54555E-02  4.20660E-04  4.73812E-03  2.65197E-04  7.64859E-03  2.88038E-04  4.91638E-03  2.65986E-04  3.46062E-02  1.63844E-03  1.67675E-03  1.09854E-04  3.57216E-03  1.26628E-04  1.53331E-03  1.06994E-04  4.10126E-03  1.30036E-04  1.76067E-03  1.10643E-04  2.52883E-02  1.16831E-03
  -28.9000  5.44914E-03  2.21660E-02  3.73247E-04  4.43319E-02  7.46494E-04  1.19342E-02  3.52912E-04  2.97873E-02  5.06971E-04  1.68234E-02  3.89635E-04  1.17090E-01  2.49904E-03  9.30717E-03  1.78260E-04  2.18239E-02  2.87031E-04  1.39078E-03  1.17216E-04  3.03646E-02  3.53212E-04  7.54299E-03  1.66083E-04  1.40859E-01  2.20361E-03
  -28.8000  5.57961E-03  1.33914E-03  3.83089E-04  2.67829E-03  7.66179E-04  9.24179E-04  3.59704E-04  1.07885E-03  5.14901E-04  9.23847E-04  3.96425E-04  5.85375E-03  2.54206E-03  5.84955E-04  1.82560E-04  1.62200E-03  2.98953E-04  1.96733E-04  1.18662E-04  1.62486E-03  3.65154E-04  5.81167E-04  1.70355E-04  9.21942E-03  2.27137E-03
  -28.7000  5.62152E-03  4.65490E-04  3.86511E-04  9.30981E-04  7.73022E-04  2.82239E-04  3.61779E-04  3.40930E-04  5.17406E-04  2.79160E-04  3.98477E-04  1.80466E-03  2.55532E-03  2.27022E-04  1.84228E-04  4.43832E-04  3.02215E-04  1.47665E-04  1.19747E-04  4.38030E-04  3.68374E-04  2.27125E-04  1.72024E-04  2.96735E-03  2.29318E-03
  -28.6000  5.64777E-03  2.59680E-04  3.88419E-04  5.19360E-04  7.76839E-04  1.66996E-04  3.63006E-04  1.94950E-04  5.18839E-04  1.64699E-04  3.99688E-04  1.05329E-03  2.56307E-03  1.70951E-04  1.85485E-04  2.62190E-04  3.04142E-04  1.36373E-04  1.20749E-04  2.58364E-04  3.70273E-04  1.71350E-04  1.73284E-04  1.99845E-03  2.30787E-03
