    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -38.0000  1.34141E-11  1.11973E-11  1.74872E-12  2.23946E-11  3.49744E-12  6.05526E-12  1.01746E-12  4.91725E-12  7.98109E-13  6.05526E-12  1.01746E-12  3.40555E-11  5.66604E-12  2.00246E-12  3.29143E-13  4.29075E-12  6.77191E-13  6.47977E-13  1.12657E-13  4.29075E-12  6.77191E-13  2.00246E-12  3.29143E-13  2.64688E-11  4.25065E-12
  -37.5000  1.75335E-11  1.52750E-11  2.31007E-12  3.05500E-11  4.62013E-12  8.12488E-12  1.31604E-12  6.63253E-12  1.04185E-12  8.12488E-12  1.31604E-12  4.57646E-11  7.34786E-12  2.69699E-12  4.28255E-13  5.81804E-12  8.91000E-13  8.60016E-13  1.44262E-13  5.81804E-12  8.91000E-13  2.69699E-12  4.28255E-13  3.57802E-11  5.56555E-12
  -37.0000  2.31670E-11  2.10808E-11  3.08477E-12  4.21616E-11  6.16955E-12  1.10318E-11  1.72145E-12  9.04623E-12  1.37429E-12  1.10318E-11  1.72145E-12  6.22196E-11  9.63439E-12  3.67543E-12  5.63325E-13  7.97574E-12  1.18410E-12  1.15481E-12  1.86700E-13  7.97574E-12  1.18410E-12  3.67543E-12  5.63325E-13  4.89143E-11  7.36311E-12
  -36.5000  3.09679E-11  2.94608E-11  4.16744E-12  5.89217E-11  8.33488E-12  1.51713E-11  2.27899E-12  1.24874E-11  1.83320E-12  1.51713E-11  2.27899E-12  8.56601E-11  1.27823E-11  5.07304E-12  7.49755E-13  1.10642E-11  1.59070E-12  1.57030E-12  2.44408E-13  1.10642E-11  1.59070E-12  5.07304E-12  7.49755E-13  6.76893E-11  9.85065E-12
  -36.0000  4.19174E-11  4.17386E-11  5.70130E-12  8.34771E-11  1.14026E-11  2.11556E-11  3.05644E-12  1.74641E-11  2.47499E-12  2.11556E-11  3.05644E-12  1.19551E-10  1.71757E-11  7.09990E-12  1.01067E-12  1.55485E-11  2.16210E-12  2.16471E-12  3.23959E-13  1.55485E-11  2.16210E-12  7.09990E-12  1.01067E-12  9.49229E-11  1.33390E-11
  -35.5000  5.75186E-11  6.00330E-11  7.90747E-12  1.20066E-10  1.58149E-11  2.99557E-11  4.15729E-12  2.47790E-11  3.38560E-12  2.99557E-11  4.15729E-12  1.69381E-10  2.34004E-11  1.00902E-11  1.38148E-12  2.21659E-11  2.97668E-12  3.02956E-12  4.35294E-13  2.21659E-11  2.97668E-12  1.00902E-11  1.38148E-12  1.35084E-10  1.83032E-11
  -35.0000  8.01239E-11  8.78188E-11  1.11348E-11  1.75638E-10  2.22695E-11  4.31496E-11  5.74301E-12  3.57289E-11  4.69862E-12  4.31496E-11  5.74301E-12  2.44056E-10  3.23693E-11  1.45892E-11  1.91762E-12  3.21116E-11  4.15676E-12  4.31239E-12  5.93771E-13  3.21116E-11  4.15676E-12  1.45892E-11  1.91762E-12  1.95428E-10  2.54851E-11
  -34.5000  1.13507E-10  1.30952E-10  1.59472E-11  2.61904E-10  3.18943E-11  6.33729E-11  8.07192E-12  5.24697E-11  6.62684E-12  6.33729E-11  8.07192E-12  3.58431E-10  4.55414E-11  2.15101E-11  2.70811E-12  4.73787E-11  5.89789E-12  6.25644E-12  8.23691E-13  4.73787E-11  5.89789E-12  2.15101E-11  2.70811E-12  2.88068E-10  3.60714E-11
  -34.0000  1.63893E-10  1.99605E-10  2.32825E-11  3.99210E-10  4.65650E-11  9.51698E-11  1.15693E-11  7.86801E-11  9.51828E-12  9.51698E-11  1.15693E-11  5.38039E-10  6.53140E-11  3.24350E-11  3.90007E-12  7.13803E-11  8.52107E-12  9.27846E-12  1.16467E-12  7.13803E-11  8.52107E-12  3.24350E-11  3.90007E-12  4.33818E-10  5.20139E-11
  -33.5000  2.41930E-10  3.12267E-10  3.47581E-11  6.24534E-10  6.95162E-11  1.46747E-10  1.69622E-11  1.20933E-10  1.39625E-11  1.46747E-10  1.69622E-11  8.28853E-10  9.57737E-11  5.02326E-11  5.74608E-12  1.10235E-10  1.25721E-11  1.41225E-11  1.68366E-12  1.10235E-10  1.25721E-11  5.02326E-11  5.74608E-12  6.70114E-10  7.66401E-11
  -33.0000  3.66606E-10  5.04027E-10  5.32808E-11  1.00805E-09  1.06562E-10  2.33592E-10  2.55465E-11  1.91471E-10  2.09989E-11  2.33592E-10  2.55465E-11  1.31731E-09  1.44184E-10  8.03435E-11  8.69865E-12  1.75378E-10  1.90171E-11  2.21749E-11  2.49857E-12  1.75378E-10  1.90171E-11  8.03435E-11  8.69865E-12  1.06724E-09  1.15860E-10
  -32.5000  5.73551E-10  8.45401E-10  8.43487E-11  1.69080E-09  1.68697E-10  3.86712E-10  3.97579E-11  3.14396E-10  3.25528E-11  3.86712E-10  3.97579E-11  2.17564E-09  2.24137E-10  1.33719E-10  1.36127E-11  2.89405E-10  2.96526E-11  3.61676E-11  3.82771E-12  2.89405E-10  2.96526E-11  1.33719E-10  1.36127E-11  1.76483E-09  1.80717E-10
  -32.0000  9.34386E-10  1.48982E-09  1.39099E-10  2.97965E-09  2.78197E-10  6.73515E-10  6.45092E-11  5.40939E-10  5.24319E-11  6.73515E-10  6.45092E-11  3.77594E-09  3.62901E-10  2.34320E-10  2.22238E-11  5.00522E-10  4.80464E-11  6.19292E-11  6.10356E-12  5.00522E-10  4.80464E-11  2.34320E-10  2.22238E-11  3.06322E-09  2.93288E-10
  -31.5000  1.60679E-09  2.80643E-09  2.42233E-10  5.61285E-09  4.84466E-10  1.25662E-09  1.10689E-10  9.90958E-10  8.88490E-11  1.25662E-09  1.10689E-10  7.00838E-09  6.20454E-10  4.40391E-10  3.84079E-11  9.21987E-10  8.19288E-11  1.13185E-10  1.02630E-11  9.21987E-10  8.19288E-11  4.40391E-10  3.84079E-11  5.67588E-09  5.01873E-10
  -31.0000  2.98562E-09  5.81782E-09  4.56034E-10  1.16356E-08  9.12068E-10  2.59039E-09  2.05884E-10  1.98509E-09  1.61800E-10  2.59039E-09  2.05884E-10  1.43318E-08  1.14714E-09  9.16203E-10  7.20777E-11  1.85838E-09  1.50223E-10  2.26987E-10  1.86047E-11  1.85838E-09  1.50223E-10  9.16203E-10  7.20777E-11  1.15523E-08  9.26412E-10
  -30.5000  6.28023E-09  1.40511E-08  9.72403E-10  2.81023E-08  1.94481E-09  6.27229E-09  4.36386E-10  4.57563E-09  3.29951E-10  6.27229E-09  4.36386E-10  3.42404E-08  2.40545E-09  2.24614E-09  1.54622E-10  4.31733E-09  3.08882E-10  5.27182E-10  3.79783E-11  4.31733E-09  3.08882E-10  2.24614E-09  1.54622E-10  2.73082E-08  1.92997E-09
  -30.0000  1.25964E-08  4.53344E-08  1.97201E-09  9.06687E-08  3.94401E-09  2.07040E-08  8.92901E-10  1.36542E-08  6.31022E-10  2.07040E-08  8.92901E-10  1.10125E-07  4.83365E-09  7.54407E-09  3.20965E-10  1.30659E-08  5.96979E-10  1.61008E-09  7.34798E-11  1.30659E-08  5.96979E-10  7.54407E-09  3.20965E-10  8.56599E-08  3.81874E-09
  -29.9000  1.54260E-08  6.10312E-08  2.42058E-09  1.22062E-07  4.84116E-09  2.81453E-08  1.09977E-09  1.79398E-08  7.62877E-10  2.81453E-08  1.09977E-09  1.48461E-07  5.92482E-09  1.02953E-08  3.96635E-10  1.72537E-08  7.23791E-10  2.13509E-09  8.91724E-11  1.72537E-08  7.23791E-10  1.02953E-08  3.96635E-10  1.14466E-07  4.66005E-09
  -29.8000  1.93617E-08  8.50229E-08  3.04549E-09  1.70046E-07  6.09097E-09  3.97118E-08  1.39164E-09  2.42504E-08  9.41114E-10  3.97118E-08  1.39164E-09  2.07348E-07  7.44880E-09  1.45777E-08  5.03779E-10  2.34820E-08  8.96381E-10  2.92273E-09  1.10654E-10  2.34820E-08  8.96381E-10  1.45777E-08  5.03779E-10  1.58084E-07  5.82195E-09
  -29.7000  2.50898E-08  1.23941E-07  3.95644E-09  2.47882E-07  7.91287E-09  5.88636E-08  1.82428E-09  3.40085E-08  1.19107E-09  5.88636E-08  1.82428E-09  3.03471E-07  9.67927E-09  2.16610E-08  6.62984E-10  3.32501E-08  1.14076E-09  4.17267E-09  1.41323E-10  3.32501E-08  1.14076E-09  2.16610E-08  6.62984E-10  2.27990E-07  7.49764E-09
  -29.6000  3.39629E-08  1.92368E-07  5.37031E-09  3.84735E-07  1.07406E-08  9.33800E-08  2.51061E-09  5.00956E-08  1.55927E-09  9.33800E-08  2.51061E-09  4.73711E-07  1.31610E-08  3.43481E-08  9.15438E-10  4.96968E-08  1.50603E-09  6.31344E-09  1.87726E-10  4.96968E-08  1.50603E-09  3.43481E-08  9.15438E-10  3.48807E-07  1.00613E-08
  -29.5000  4.90323E-08  3.27835E-07  7.77986E-09  6.55670E-07  1.55597E-08  1.63710E-07  3.71385E-09  7.91420E-08  2.14095E-09  1.63710E-07  3.71385E-09  8.13122E-07  1.91373E-08  5.97672E-08  1.35472E-09  8.03967E-08  2.09693E-09  1.04209E-08  2.64318E-10  8.03967E-08  2.09693E-09  5.97672E-08  1.35472E-09  5.81498E-07  1.43353E-08
  -29.4000  7.87100E-08  6.51608E-07  1.25691E-08  1.30322E-06  2.51382E-08  3.36712E-07  6.18864E-09  1.39268E-07  3.16455E-09  3.36712E-07  6.18864E-09  1.62538E-06  3.10837E-08  1.19768E-07  2.23500E-09  1.47608E-07  3.18183E-09  1.98784E-08  4.10421E-10  1.47608E-07  3.18183E-09  1.19768E-07  2.23500E-09  1.10926E-06  2.24882E-08
  -29.3000  1.55652E-07  1.74509E-06  2.53953E-08  3.49018E-06  5.07906E-08  9.26014E-07  1.29947E-08  2.95941E-07  5.33967E-09  9.26014E-07  1.29947E-08  4.29594E-06  6.26582E-08  3.03705E-07  4.46719E-09  3.41627E-07  5.69274E-09  5.05352E-08  7.81848E-10  3.41627E-07  5.69274E-09  3.03705E-07  4.46719E-09  2.68240E-06  4.22034E-08
  -29.2000  5.49066E-07  1.03871E-05  1.01739E-07  2.07742E-05  2.03478E-07  5.01232E-06  4.98346E-08  9.56560E-07  1.23703E-08  5.01232E-06  4.98346E-08  2.19624E-05  2.24079E-07  1.21036E-06  1.33632E-08  1.34418E-06  1.55723E-08  2.85923E-07  2.88334E-09  1.34418E-06  1.55723E-08  1.21036E-06  1.33632E-08  1.07900E-05  1.21509E-07
  -29.1000  4.83328E-05  2.14983E-03  1.59027E-05  4.29966E-03  3.18054E-05  4.73096E-04  3.52703E-06  1.65562E-05  1.34056E-07  4.73096E-04  3.52703E-06  1.92550E-03  1.43762E-05  3.34554E-06  3.79525E-08  3.58570E-05  2.79116E-07  5.96710E-05  4.41457E-07  3.58570E-05  2.79116E-07  3.34554E-06  3.79525E-08  2.76152E-04  2.15119E-06
