Energy Monitor Ho_a Ho_g2 Ho_g1 Ho_b1 bragg Ho_b2 fluotot
7.994000000000000000e+03 8.485121276609381894e+05 1.702896563831300748e-06 -9.137522436310433517e-24 1.284102808698507373e-08 1.043068970173630642e-06 7.018146084403133500e+01 2.333040193978542856e-07 2.430933147658752552e-03
7.995000000000000000e+03 8.476183093598922715e+05 1.563403473411932804e-06 2.453136350591920007e-08 5.759764763791712465e-09 1.074899292157377500e-06 7.009604282275043374e+01 -4.290711190629493175e-07 2.472671889424958667e-03
7.996000000000000000e+03 8.512590063704405911e+05 1.840056644068994251e-06 2.178078278458213610e-08 -6.776677687422473783e-17 1.022983626387739169e-06 7.009917752414133929e+01 -4.256296191103264926e-07 2.486389179177187717e-03
7.997000000000000000e+03 8.475729848244473105e+05 2.063157400738260416e-06 1.422552644719666163e-08 5.335356859176133632e-09 1.084487543358463893e-06 7.020979994218834008e+01 -4.165579561989563027e-07 2.454557341492856568e-03
7.998000000000000000e+03 8.460722201794618741e+05 2.030100136789092840e-06 2.575849209273046328e-08 4.981288471125779454e-09 1.057519397835826905e-06 7.004880258756834621e+01 -6.596317846124524640e-07 2.471561497412601283e-03
7.999000000000000000e+03 8.455134145841463469e+05 1.969853840632878276e-06 1.864078378425368583e-08 -8.320626069701101533e-17 1.022370789394814516e-06 7.004925516641516481e+01 -2.298910650467710165e-07 2.471523720244693956e-03
8.000000000000000000e+03 8.449376427329388680e+05 1.870353942341204057e-06 1.289450592348142617e-08 2.142541824374096263e-08 9.498296786471937072e-07 6.999705704944261697e+01 -1.105618072203526225e-08 2.479055621764575130e-03
8.001000000000000000e+03 8.441101835674518952e+05 1.941615429110902586e-06 5.752139437366497576e-09 3.523351409837534648e-08 1.101222516911564025e-06 7.010564506554359809e+01 -4.721426999460406578e-07 2.471769845800572338e-03
8.002000000000000000e+03 8.420617139221220277e+05 2.140279584873505822e-06 -4.774230601904455300e-24 2.007530763391776500e-08 1.102405818975971009e-06 6.991769637799330894e+01 -4.713255079974123507e-07 2.479614866391028575e-03
8.003000000000000000e+03 8.416110527263600379e+05 2.126871909511198759e-06 7.172551366960854587e-09 1.149819419081572977e-08 1.021756598214567428e-06 7.006859551759494309e+01 2.158722526982013472e-07 2.510911832965768194e-03
8.004000000000000000e+03 8.423076992230707547e+05 2.189507226284205089e-06 5.747853782313502210e-09 -1.169399804505434222e-16 9.784548162005928900e-07 6.982654446714843743e+01 1.666201630763965764e-07 2.522954380757965517e-03
8.005000000000000000e+03 8.417658903550733812e+05 2.201842370437315907e-06 1.804793061377297237e-08 2.037230205471495915e-08 9.881137946580045983e-07 6.999399879707083016e+01 -3.821020026650695409e-07 2.512199962731386047e-03
8.006000000000000000e+03 8.412271550651869038e+05 2.366730965168654554e-06 5.745408546515015978e-09 2.307628503949795614e-08 1.158452787526249658e-06 6.990926044430160857e+01 -7.239404460276520648e-07 2.516356175396898803e-03
8.007000000000000000e+03 8.406267650954857236e+05 2.493898188696579728e-06 2.164163793932964048e-08 1.661544286289929925e-08 1.190590885433505272e-06 6.991703984155331852e+01 -3.795299592855164047e-07 2.572686322828361943e-03
8.008000000000000000e+03 8.382933143191345735e+05 2.797792140747620920e-06 2.352038137961972620e-08 7.225550711142601323e-09 1.164951990975428933e-06 6.971884405480463442e+01 -7.089385111628231773e-07 2.566969140399688078e-03
8.009000000000000000e+03 8.383984007098103175e+05 2.991329814609653657e-06 1.143262488428625678e-08 5.741844580057128224e-09 1.086483083336270424e-06 6.975253186145042150e+01 -4.297572550858647357e-07 2.595207683734027711e-03
8.010000000000000000e+03 8.392042087783442112e+05 2.978428839050886609e-06 1.298186115816482483e-08 -1.754205925115625222e-16 1.055033507578946551e-06 6.964596892984168619e+01 4.541494025386692014e-07 2.655295204311611257e-03
8.011000000000000000e+03 8.386023389481945196e+05 2.829990663500821909e-06 1.299125520137390129e-08 2.176470460414373992e-08 1.114860386068891085e-06 6.964021995007472299e+01 4.030891625444137732e-07 2.611689526025149592e-03
8.012000000000000000e+03 8.380184581519392086e+05 3.052622244518890280e-06 1.300282550940711945e-08 3.174178619570708676e-08 1.017846639210889932e-06 6.967078374077985359e+01 5.389101608195339673e-07 2.574534888835976459e-03
8.013000000000000000e+03 8.361388789316364564e+05 3.359244730241302119e-06 1.237176078010423639e-08 2.973871863212369022e-08 1.038603519725976748e-06 6.954024645393819526e+01 5.553839292383814874e-07 2.565879952052951309e-03
8.014000000000000000e+03 8.358144786404190818e+05 3.348058810370852255e-06 3.774708906925574380e-09 5.792355665708287117e-09 1.152518897168822794e-06 6.947968167542505569e+01 -1.138212581129425196e-07 2.605361673956647483e-03
8.015000000000000000e+03 8.332637618461837992e+05 3.447593418300973551e-06 7.371726420083175405e-09 -2.453596964774210187e-16 9.672066823364928622e-07 6.943785549962643699e+01 4.796749335367685447e-07 2.656737464054202778e-03
8.016000000000000000e+03 8.324662088474641787e+05 3.386771253874424859e-06 2.055569489437830446e-08 -2.623216415004312318e-16 9.928238811663756561e-07 6.916202374337505887e+01 7.819705615204676832e-07 2.671682815535275039e-03
8.017000000000000000e+03 8.321187553365813801e+05 3.615392512886700860e-06 1.157718387050726314e-08 7.321275074126674553e-09 9.424964247887207910e-07 6.911483478058023877e+01 4.904937527141291351e-07 2.690088130925169779e-03
8.018000000000000000e+03 8.321801837260491448e+05 3.963273357805605036e-06 7.052425888593240721e-09 1.313296244728307530e-08 1.029852693673116862e-06 6.900348423315710988e+01 7.343683113985522339e-07 2.712186270505569010e-03
8.019000000000000000e+03 8.293953533813947579e+05 4.338041032180110112e-06 3.395603478899812079e-09 2.061203383809439730e-08 9.367446284362147303e-07 6.882817478782395426e+01 7.157048988004930026e-07 2.722530270520098859e-03
8.020000000000000000e+03 8.278291702268150402e+05 3.955240249369043410e-06 -8.603967691817661554e-24 1.156671966184268635e-08 9.381739134519994348e-07 6.869994157096660103e+01 4.729980584142981710e-07 2.727901988760855767e-03
8.021000000000000000e+03 8.265455660900749499e+05 4.570296359471555229e-06 7.435600973657363596e-09 7.435600607708382424e-09 9.579697038232381796e-07 6.887296908396569961e+01 3.984984400983882574e-07 2.761889701219663509e-03
