Energy Monitor Ho_a Ho_g1 Ho_b1 bragg Ho_b2 fluotot
8.084000000000000000e+03 1.412220000000000000e+05 1.414793729022390326e-03 -9.334317679111895842e-19 4.329556099110417467e-05 1.845524159384233940e+02 1.930281678813573982e-04 2.250570024500468114e-01
8.085000000000000000e+03 1.401910000000000000e+05 1.337766740681335708e-03 2.038035863306922209e-07 4.463298540664419739e-05 1.890187767785989479e+02 1.722152136532435112e-04 2.166686877188992721e-01
8.086000000000000000e+03 1.390710000000000000e+05 1.343609687549114163e-03 2.054449063519694807e-07 3.882908730073128409e-05 1.963281868987514827e+02 1.684088001262562572e-04 2.175507474599345237e-01
8.087000000000000000e+03 1.420940000000000000e+05 1.285064816248398991e-03 -1.203962211113181454e-18 4.705134830263266724e-05 1.988785458714258993e+02 1.755772716933690861e-04 2.115430630427713454e-01
8.088000000000000000e+03 1.401390000000000000e+05 1.251614468491997218e-03 2.038792097220966323e-07 4.036808352523464514e-05 2.005564028292854744e+02 1.661508263976122337e-04 2.091138084330615710e-01
8.089000000000000000e+03 1.389450000000000000e+05 1.272034669422124733e-03 -1.426076811876473940e-18 4.421071030160958173e-05 2.023673176699527971e+02 1.722345763782518260e-04 2.105149519594087248e-01
8.090000000000000000e+03 1.406340000000000000e+05 1.245583774701911105e-03 -1.551623222301108854e-18 3.880386575894063359e-05 2.038524068013782369e+02 1.625307102317777178e-04 2.071547420965023922e-01
8.091000000000000000e+03 1.396970000000000000e+05 1.270095788947303269e-03 2.045242816323380728e-07 4.417724483294968433e-05 2.065096022137347802e+02 1.677670442059057358e-04 2.074489788613883001e-01
8.092000000000000000e+03 1.386510000000000000e+05 1.241142972540510347e-03 4.121344753561272791e-07 4.080131306043849169e-05 2.097572279776424864e+02 1.507732190380130840e-04 2.063093666832571393e-01
8.093000000000000000e+03 1.407180000000000000e+05 1.222505801877310895e-03 2.030403258371167438e-07 4.060806516782298272e-05 2.088977991075867351e+02 1.372947559034939230e-04 2.052686934151987663e-01
8.094000000000000000e+03 1.397280000000000000e+05 1.277993162225384872e-03 -2.172870166304277012e-18 4.355400696864111494e-05 2.119918852624956855e+02 1.854541973818560211e-04 2.105161456544102916e-01
8.095000000000000000e+03 1.390130000000000000e+05 1.231128435059002666e-03 -2.362983574762924909e-18 3.863975722722746872e-05 2.094889959455055077e+02 1.787753564319184262e-04 2.056138634516191110e-01
8.096000000000000000e+03 1.397260000000000000e+05 1.255927417128625259e-03 -2.569891031327055390e-18 3.762465723732775065e-05 2.084509494301302084e+02 1.605149734358842558e-04 2.071840602321640967e-01
8.097000000000000000e+03 1.404350000000000000e+05 1.287835246606208305e-03 -2.794907630584552410e-18 4.191059412336159564e-05 2.060433630327502215e+02 1.718221739627666866e-04 2.117278456225301642e-01
8.098000000000000000e+03 1.385520000000000000e+05 1.321834813953296503e-03 2.062144795528587355e-07 4.186153934984698815e-05 2.030944559714391460e+02 2.033116442123465185e-04 2.173263467867652399e-01
8.099000000000000000e+03 1.397000000000000000e+05 1.367215461703650756e-03 -3.302358927714822350e-18 3.988137846405562687e-05 1.981629555882362865e+02 1.746803453508876183e-04 2.161846814602720601e-01
8.100000000000000000e+03 1.393900000000000000e+05 1.359392454879936084e-03 2.049747368600916436e-07 4.283972000450944471e-05 1.945734408595497484e+02 2.003817953322401891e-04 2.187961833703936654e-01
8.101000000000000000e+03 1.378800000000000000e+05 1.394380206390650415e-03 -3.901732368233882234e-18 3.999336897509221439e-05 1.928916438340816910e+02 1.979956496589638498e-04 2.240789091964040802e-01
8.102000000000000000e+03 1.383470000000000000e+05 1.413216663276295774e-03 6.195601329533640366e-07 4.233660908543630531e-05 1.902597592274001954e+02 2.020821128848469990e-04 2.243127787375192306e-01
8.103000000000000000e+03 1.390840000000000000e+05 1.441677588466579217e-03 2.054257036811399933e-07 3.862003229292061576e-05 1.899487574650436557e+02 1.875699102389253095e-04 2.235411693652824827e-01
8.104000000000000000e+03 1.381240000000000000e+05 1.424599841963949650e-03 2.068534691345244890e-07 4.343922851930149940e-05 1.913183494395129287e+02 1.931153684135239685e-04 2.260649850858640897e-01
8.105000000000000000e+03 1.382050000000000000e+05 1.393375265521714724e-03 2.067322352351713458e-07 4.196664375384392395e-05 1.917372438252982079e+02 1.914436009948062385e-04 2.249267392641416674e-01
8.106000000000000000e+03 1.389680000000000000e+05 1.385313782412395068e-03 4.111943551179849000e-07 3.906346373676982525e-05 1.944240939054001842e+02 1.934524632766646338e-04 2.227707098036943723e-01
8.107000000000000000e+03 1.390250000000000000e+05 1.402419914198371319e-03 -6.417890937928048375e-18 4.377424409792688727e-05 1.977203735235361250e+02 1.938546133350184386e-04 2.239956842294598960e-01
8.108000000000000000e+03 1.378350000000000000e+05 1.365400660209670908e-03 -6.970125731128883807e-18 4.125014898766123111e-05 1.975256642656846680e+02 1.911465569571531428e-04 2.223092828381724451e-01
8.109000000000000000e+03 1.388360000000000000e+05 1.406798566036803920e-03 -7.569320930450696900e-18 3.868901849252766745e-05 2.005511466895521835e+02 2.145792944548057055e-04 2.225359416865963780e-01
8.110000000000000000e+03 1.380560000000000000e+05 1.322030811513340330e-03 -8.218782521227279189e-18 3.932151756223147411e-05 2.009800614159656220e+02 1.975902005507140942e-04 2.175856174306124990e-01
8.111000000000000000e+03 1.364210000000000000e+05 1.336199810041813728e-03 -8.923462859421695554e-18 3.602294158733416600e-05 2.036631262775576658e+02 1.895833157595959374e-04 2.169534016023962064e-01
8.112000000000000000e+03 1.387240000000000000e+05 1.314429061610515505e-03 -9.687328318248421144e-18 4.283943040034272003e-05 2.031464932333301476e+02 2.065073592455929428e-04 2.153340445777290335e-01
8.113000000000000000e+03 1.376680000000000000e+05 1.352944350590862569e-03 -1.051546115118396277e-17 4.213034256326814858e-05 2.065121446457149261e+02 2.226028378292907212e-04 2.170148473138243939e-01
8.114000000000000000e+03 1.366020000000000000e+05 1.346142181561867796e-03 4.183164019655499798e-07 4.099500739374240037e-05 2.083208206179396313e+02 1.986228457919707725e-04 2.155092897614957759e-01
8.115000000000000000e+03 1.381780000000000000e+05 1.329341243075701437e-03 6.203178922301243612e-07 3.680552827305566169e-05 2.091316638039926090e+02 2.103300498843266504e-04 2.157362242904072858e-01
8.116000000000000000e+03 1.368090000000000000e+05 1.297742525293344362e-03 -1.344133636455360965e-17 4.093297955543860102e-05 2.100181830839958366e+02 1.815568131928777082e-04 2.121644043886036501e-01
8.117000000000000000e+03 1.375320000000000000e+05 1.317719304805946507e-03 -1.458516865299831762e-17 3.905584570448020529e-05 2.108898562080527768e+02 1.926644511810506337e-04 2.154771253235648887e-01
8.118000000000000000e+03 1.377670000000000000e+05 1.320448915301093273e-03 -1.582411781439907352e-17 4.230745700038055846e-05 2.129817510966648513e+02 2.241136784710064415e-04 2.170621411513676824e-01
